Отчёт по выпуску продукции за период 13.04.2026 — 14.04.2026

Продукт,Партий,Завершено,Заблокировано,% брака
ASP-500 — Аспирин 500 мг,7,3,2,28.6%
IBU-400 — Ибупрофен 400 мг,4,1,2,50.0%

"Итого: 11 партий, завершено 4, заблокировано 4, брак 36.4%"

Номер партии,Продукт,Статус,Дата начала,Оператор,Подписал,Дата решения
B-ASP-500-2026-001,ASP-500 — Аспирин 500 мг,В работе,13.04.2026 19:07,Операторов Оператор,—,—
B-IBU-400-2026-001,IBU-400 — Ибупрофен 400 мг,В работе,13.04.2026 20:17,Операторов Оператор,—,—
B-ASP-500-2026-002,ASP-500 — Аспирин 500 мг,В работе,13.04.2026 20:36,Операторов Оператор,—,—
B-ASP-500-2026-007,ASP-500 — Аспирин 500 мг,Завершена,13.04.2026 21:33,Операторов Оператор,ОККначальников Начальник,13.04.2026 22:50
B-ASP-500-2026-004,ASP-500 — Аспирин 500 мг,Завершена,13.04.2026 21:06,Операторов Оператор,—,—
B-IBU-400-2026-004,IBU-400 — Ибупрофен 400 мг,Заблокирована,13.04.2026 21:07,Операторов Оператор,ОККначальников Начальник,14.04.2026 00:31
B-IBU-400-2026-003,IBU-400 — Ибупрофен 400 мг,Заблокирована,13.04.2026 20:57,Операторов Оператор,ОККначальников Начальник,14.04.2026 02:01
B-ASP-500-2026-005,ASP-500 — Аспирин 500 мг,Завершена,13.04.2026 21:06,Операторов Оператор,ОККначальников Начальник,14.04.2026 02:02
B-IBU-400-2026-002,IBU-400 — Ибупрофен 400 мг,Завершена,13.04.2026 20:46,Операторов Оператор,—,—
B-ASP-500-2026-003,ASP-500 — Аспирин 500 мг,Заблокирована,13.04.2026 20:46,Операторов Оператор,ОККначальников Начальник,14.04.2026 02:15
B-ASP-500-2026-006,ASP-500 — Аспирин 500 мг,Заблокирована,13.04.2026 21:29,Операторов Оператор,ОККначальников Начальник,14.04.2026 02:56
